Penjual,Kota Toko,Nama Produk,Harga Produk,Jumlah Terjual,Rating Produk
Dilla frozen,Jakarta Pusat,seblak instan ksn,12000.0,3.0,5.0
Snackzone PP,Jakarta Pusat,Baso urat djuara sami raos/Baso Aci Urat /Seblak,25000.0,7.0,5.0
Rak Sebelah,Jakarta Pusat,Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,56300.0,100.0,4.9
RIKI STORE 97,Kab. Bogor,kerupuk seblak pedas daun jeruk,4500.0,100.0,4.7
Toko kue Sumber Mas,Jakarta Timur,KERUPUK JABLAY BANTET SEBLAK PELANGI,15999.0,500.0,4.9
Bumbukeluargakita,Jakarta Barat,Kerupuk Seblak viral /Kerupuk Mawar Mentah 500gram,15000.0,8.0,4.0
global cookware1,Jakarta Barat,11 BUNGKUS SEBLAK MAMANG PAKET RESELLER,42000.0,16.0,5.0
cemilanceuromlah,Bandung,kerupuk seblak cocol mentah viral mawar 100gram,5000.0,100.0,4.9
Golden Cakery,Jakarta Pusat,KERUPUK KRUPUK SEBLAK JABLAY PELANGI PEDAS TERLARIS PER 250GRAM,12740.0,500.0,4.9
SeblakYoi,Bekasi,Seblak instan yoi enak dan kenyang,7500.0,250.0,4.9
snack_it,Tangerang Selatan,seblak ceker pedas,8950.0,250.0,4.9
home_nature,Kab. Tangerang,Kerupuk seblak orens / kerupuk sari laut orange mentah,12200.0,50.0,4.9
Aydaa Snack,Surakarta,SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000.0,40.0,4.9
oke snack,Jakarta Selatan,seblak kencur / okesnack,10000.0,750.0,4.9
Seblak Jeletet Murni,Jakarta Pusat,SEBLAK JELETET MURNI (SEXXY),40000.0,250.0,4.9
DEVAN MUKENAH DEWASA,Jakarta Selatan,Seblak Instan 250gr Bumbu Komplit JSR Snack,11900.0,100.0,4.9
Sahabatdapur1,Tangerang,Kerupuk Orange / Kerupuk Seblak 250gr / Kerupuk Mentah - Sahabatdapur,7500.0,16.0,5.0
Iguazabest777,Kab. Tangerang,KERUPUK SEBLAK SAMBAL KRUPUK KERITING KECIL Mentah Krupuk,7900.0,30.0,5.0
Toko NRV Plastik dan Bahan Kue,Bandung,Kerupuk Aci Mawar | Kerupuk Mawar Putih | Seblak Rafael Viral | 250gr,7999.0,100.0,5.0
Nyemil Saji Jaktim,Jakarta Timur,SEBLAK INSTAN SIAP SAJI TERENAK TERMURAH by nyemil.saji,15999.0,100.0,4.7
Baso Aci Ayang,Kab. Garut,Seblak Instan Komplit Pedas Gurih Nikmat,5999.0,2000.0,4.9
arzy sembako,Kab. Bogor,kerupuk seblak rafael 500gram,13800.0,30.0,5.0
Alanza Frozen Food,Tangerang Selatan,Kerupuk Mawar Bahan Seblak Babangi 1 Kg,24000.0,10.0,5.0
global cookware1,Jakarta Barat,SEBLAK INSTAN MAMANG TERMURAH,4200.0,80.0,5.0
KRIUK JAYA,Jakarta Barat,Kerupuk SEBLAK KERITING PEDAS,20000.0,100.0,4.9
kylafood,Bandung,Kylafood Seblak Rempah Autentik isi (5pcs),44550.0,100.0,4.5
Pedas Gilaa,Surabaya,Kerupuk Mentah 250gr Seblak Mentah,6200.0,100.0,4.9
makanyukbekasi,Bekasi,SEBLAK TULANG RANGU NYAIMERCON,21145.0,30.0,5.0
Golden Cakery,Jakarta Pusat,KERUPUK KRUPUK SEBLAK JABLAY PELANGI,9800.0,250.0,4.9
Raabihah_kerupukgrosir,Bandung,KERUPUK MAWAR PUTIH MENTAH ISI 1KG / KERUPUK VIRAL SEBLAK COBEK,26000.0,30.0,4.9
SWEETSO,Tangerang,CUANKIE INSTANT 12pcs / BASO ACI / SEBLAK,45600.0,7.0,5.0
KEDAI SAYUR KU,Tangerang Selatan,Kerupuk Rafael/kerupuk seblak viral/kerupuk mawar 1kg,30000.0,28.0,4.8
sinergi snack,Depok,SEBLAK KERUPUK SIKAYA,11000.0,100.0,5.0
Gerai Snack Official Shop,Kab. Tangerang,Seblak Mommy,13500.0,2000.0,4.6
Taufik Bumbu Giling,Jakarta Selatan,kerupuk bubur/ seblak / gado- gado/ ketoprak 500gr,18000.0,100.0,4.9
Agen Snack Murah,Jakarta Barat,Seblak Kencur 250gr/Kerupuk Seblak Rasa Kencur/Snack Cemilan,11600.0,100.0,5.0
