,Penjual,Kota Toko,Nama Produk,Harga Produk,Jumlah Terjual,Rating Produk
0,Militan Snack,Kab. Sidoarjo,Seblak Coet Instan Seblak Coet Rafael Viral Seblak Cobek Sambal Bawang,13000.0,Terjual 22,None
1,tsr1997,Depok,seblak instan,4555.0,Terjual 1 rb+,4.9
2,Rasa Juara Indonesia,Bandung,SEBLAK JUARA INSTAN MASAK BASAH ASLI BANDUNG ENAK MANTAP,22000.0,Terjual 750+,4.9
3,Lidigeli,Kab. Garut,MASJAY Seblak Bumbu Membara Instant - No.1 Street Food Bandung,15000.0,Terjual 70+,5.0
4,Semesta kerupuk,Tangerang Selatan,Kerupuk mawar putih mentah 500gram / kerupuk ikan mentah /seblak viral,12000.0,Terjual 60+,5.0
5,the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,Terjual 1 rb+,4.8
6,vieka mart official,Tangerang Selatan,Seblak ala Kang Rafael | Seblak Viral | Seblak Cobek,9216.0,Terjual 250+,5.0
7,Bumbukeluargakita,Jakarta Barat,Kerupuk Seblak Viral / Kerupuk Mawar Putih Viral Mentah 250gram,8000.0,Terjual 12,5.0
8,Seblak Jeletet Murni,Jakarta Pusat,SEBLAK JELETET MURNI (AJAHH),26500.0,Terjual 1 rb+,4.9
9,Alanza Frozen Food,Tangerang Selatan,Kerupuk Mawar Bahan Seblak Babangi 250 Gram,7000.0,Terjual 17,5.0
10,aurel prima snack,Jakarta Barat,KERUPUK SEBLAK KENCUR BERAT 250 gram,11500.0,Terjual 100+,4.9
11,BociKakang,Jakarta Selatan,KERUPUK SEBLAK MENTAH 1KG WARNA WARNI,23500.0,Terjual 100+,5.0
12,Aliya28,Tangerang Selatan,Seblak/Cuanki/Baso aci/Batagor kuah (instan) 1porsi. toping lengkap,7500.0,Terjual 100+,5.0
13,NomeL Shop,Surabaya,BASO ACI HOMEMADE boci isi12 bakso aci termurah baso aci fresh seblak,4990.0,Terjual 1 rb+,4.7
14,GK_Snack,Kab. Bandung,KERUPUK MENTAH SERBA 5000 BAHAN SEBLAK,6000.0,Terjual 500+,5.0
15,Rav Jaya Display,Kab. Tangerang,SEBLAK INSTAN MOMMY,13500.0,Terjual 1 rb+,4.8
16,Kyta Bae,Kab. Sumedang,TERMURAH KERUPUK KRUPUK KERITING MAWAR PUTIH MENTAH SEBLAK RAFAEL,5850.0,Terjual 30+,None
17,TOKO SNACK JAKARTA HENDI,Jakarta Selatan,KERUPUK / KRUPUK SEBLAK RAFAEL RENYAH / GURIH / CRISPY / KRISPY  - 1 KG,6000.0,None,None
18,toko bemo,Jakarta Timur,Kerupuk Seblak Pedas Krupuk Pelangi Pedas Seblak 200gram,15500.0,Terjual 250+,4.9
19,Djuragan Kerupuk,Surabaya,Termurah Kerupuk Mentah-Kerupuk Seblak-Kerupuk Puli,6000.0,Terjual 40+,5.0
20,hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,Terjual 750+,4.8
21,RIKI STORE 97,Kab. Bogor,Seblak pedas kerupuk pedas kiloan 1 kg,34000.0,Terjual 70+,4.8
22,jajanangarut19,Jakarta Selatan,KERUPUK SEBLAK MENTAH ANEKA WARNA,11500.0,Terjual 100+,4.9
23,emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,Terjual 2 rb+,4.9
24,babykhai,Jakarta Timur,seblak rafael / seblak coet / seblak cocol,7500.0,Terjual 100+,4.9
25,Seblak Jeletet Murni,Jakarta Pusat,SEBLAK JELETET MURNI ( BOHAYY),34000.0,Terjual 750+,4.8
26,TokokelontongSejahtera,Jakarta Barat,KERUPUK SEBLAK VIRAL RAFAEL (MENTAH) 250GR,17500.0,Terjual 28,5.0
27,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,Terjual 10 rb+,4.8
28,ajs(ale jaya snack),Jakarta Utara,KERUPUK jablay bantet/SEBLAK MINI PEDAS 250gram,13000.0,Terjual 80+,4.9
29,BociKakang,Jakarta Selatan,KERUPUK SEBLAK PEDAS DAUN JERUK 100 GR,4500.0,Terjual 250+,4.8
30,Golden Cakery,Jakarta Pusat,KERUPUK KRUPUK SEBLAK SEBRING PEDAS TERLARIS PER 500 GRAM,42275.0,Terjual 60+,4.9
31,Kylafood Jakarta,Jakarta Selatan,Kylafood Seblak Rempah Autentik,9500.0,Terjual 2,5.0
32,Rak Sebelah,Jakarta Pusat,Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,56300.0,Terjual 100+,4.9
33,Juragan Kerupuk SBY,Surabaya,SEBLAK VIRAL!! Kerupuk seblak mawar mentah AMBARUKMA 400gram,19000.0,Terjual 3,5.0
34,Djuragan Kerupuk,Surabaya,Kerupuk Mawar Tipis Merk Singa Kerupuk Seblak Kerupuk Mentah,29000.0,None,None
35,Rak Sebelah,Jakarta Pusat,Seblak Basranger Extra Pedas 200gr,17300.0,Terjual 250+,4.9
36,ajs(ale jaya snack),Jakarta Utara,KERUPUK SEBLAK MINI KENCUR JABLAY BANTET PEDAS 500GRAM KILOAN,21000.0,Terjual 12,5.0
37,toko bemo,Jakarta Timur,Kerupuk Seblak Pedas Krupuk Pelangi Pedas Seblak 200gram,15500.0,Terjual 250+,4.9
38,Semesta kerupuk,Tangerang Selatan,Kerupuk mawar putih mentah 500gram / kerupuk ikan mentah /seblak viral,12000.0,Terjual 60+,5.0
39,Makanan Tradisi Id,Jakarta Pusat,Kerupuk Seblak Mentah/ Krupuk Seblak Viral/ Kerupuk Mawar 5kg,112000.0,Terjual 11,5.0
40,Seblak Jeletet Murni,Jakarta Pusat,SEBLAK JELETET MURNI (AJAHH),26500.0,Terjual 1 rb+,4.9
41,Rak Sebelah,Jakarta Pusat,Seblak Basranger Extra Pedas 200gr,17300.0,Terjual 250+,4.9
42,Seblak Jeletet Murni,Jakarta Pusat,SEBLAK JELETET MURNI (SEXXY),40000.0,Terjual 250+,4.9
43,Seblak Jeletet Murni,Jakarta Pusat,SEBLAK JELETET MURNI (UNYUU),26500.0,Terjual 250+,4.8
44,Seblak Jeletet Murni,Jakarta Pusat,SEBLAK JELETET MURNI ( BOHAYY),34000.0,Terjual 750+,4.8
45,Rak Sebelah,Jakarta Pusat,Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,56300.0,Terjual 100+,4.9
46,Rak Sebelah,Jakarta Pusat,Bundle 3pcs - Seblak Basranger Extra Pedas 200gr Makanan Instan,51900.0,Terjual 40+,4.8
47,Dilla frozen,Jakarta Pusat,seblak instan ksn,12000.0,Terjual 3,5.0
48,Snackzone PP,Jakarta Pusat,Baso urat djuara sami raos/Baso Aci Urat /Seblak,25000.0,Terjual 7,5.0
49,Rak Sebelah,Jakarta Pusat,Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,56300.0,Terjual 100+,4.9
50,RIKI STORE 97,Kab. Bogor,kerupuk seblak pedas daun jeruk,4500.0,Terjual 100+,4.7
51,Toko kue Sumber Mas,Jakarta Timur,KERUPUK JABLAY BANTET SEBLAK PELANGI,15999.0,Terjual 500+,4.9
52,Bumbukeluargakita,Jakarta Barat,Kerupuk Seblak viral /Kerupuk Mawar Mentah 500gram,15000.0,Terjual 8,4.0
53,global cookware1,Jakarta Barat,11 BUNGKUS SEBLAK MAMANG PAKET RESELLER,42000.0,Terjual 16,5.0
54,cemilanceuromlah,Bandung,kerupuk seblak cocol mentah viral mawar 100gram,5000.0,Terjual 100+,4.9
55,Golden Cakery,Jakarta Pusat,KERUPUK KRUPUK SEBLAK JABLAY PELANGI PEDAS TERLARIS PER 250GRAM,12740.0,Terjual 500+,4.9
56,SeblakYoi,Bekasi,Seblak instan yoi enak dan kenyang,7500.0,Terjual 250+,4.9
57,snack_it,Tangerang Selatan,seblak ceker pedas,8950.0,Terjual 250+,4.9
58,home_nature,Kab. Tangerang,Kerupuk seblak orens / kerupuk sari laut orange mentah,12200.0,Terjual 50+,4.9
59,Aydaa Snack,Surakarta,SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000.0,Terjual 40+,4.9
60,oke snack,Jakarta Selatan,seblak kencur / okesnack,10000.0,Terjual 750+,4.9
61,Seblak Jeletet Murni,Jakarta Pusat,SEBLAK JELETET MURNI (SEXXY),40000.0,Terjual 250+,4.9
62,DEVAN MUKENAH DEWASA,Jakarta Selatan,Seblak Instan 250gr Bumbu Komplit JSR Snack,11900.0,Terjual 100+,4.9
63,Sahabatdapur1,Tangerang,Kerupuk Orange / Kerupuk Seblak 250gr / Kerupuk Mentah - Sahabatdapur,7500.0,Terjual 16,5.0
64,Iguazabest777,Kab. Tangerang,KERUPUK SEBLAK SAMBAL KRUPUK KERITING KECIL Mentah Krupuk,7900.0,Terjual 30+,5.0
65,Toko NRV Plastik dan Bahan Kue,Bandung,Kerupuk Aci Mawar | Kerupuk Mawar Putih | Seblak Rafael Viral | 250gr,7999.0,Terjual 100+,5.0
66,Nyemil Saji Jaktim,Jakarta Timur,SEBLAK INSTAN SIAP SAJI TERENAK TERMURAH by nyemil.saji,15999.0,Terjual 100+,4.7
67,Baso Aci Ayang,Kab. Garut,Seblak Instan Komplit Pedas Gurih Nikmat,5999.0,Terjual 2 rb+,4.9
68,arzy sembako,Kab. Bogor,kerupuk seblak rafael 500gram,13800.0,Terjual 30+,5.0
69,Alanza Frozen Food,Tangerang Selatan,Kerupuk Mawar Bahan Seblak Babangi 1 Kg,24000.0,Terjual 10,5.0
70,global cookware1,Jakarta Barat,SEBLAK INSTAN MAMANG TERMURAH,4200.0,Terjual 80+,5.0
71,KRIUK JAYA,Jakarta Barat,Kerupuk SEBLAK KERITING PEDAS,20000.0,Terjual 100+,4.9
72,kylafood,Bandung,Kylafood Seblak Rempah Autentik isi (5pcs),44550.0,Terjual 100+,4.5
73,Pedas Gilaa,Surabaya,Kerupuk Mentah 250gr Seblak Mentah,6200.0,Terjual 100+,4.9
74,makanyukbekasi,Bekasi,SEBLAK TULANG RANGU NYAIMERCON,21145.0,Terjual 30+,5.0
75,Golden Cakery,Jakarta Pusat,KERUPUK KRUPUK SEBLAK JABLAY PELANGI,9800.0,Terjual 250+,4.9
76,Raabihah_kerupukgrosir,Bandung,KERUPUK MAWAR PUTIH MENTAH ISI 1KG / KERUPUK VIRAL SEBLAK COBEK,26000.0,Terjual 30+,4.9
77,SWEETSO,Tangerang,CUANKIE INSTANT 12pcs / BASO ACI / SEBLAK,45600.0,Terjual 7,5.0
78,KEDAI SAYUR KU,Tangerang Selatan,Kerupuk Rafael/kerupuk seblak viral/kerupuk mawar 1kg,30000.0,Terjual 28,4.8
79,sinergi snack,Depok,SEBLAK KERUPUK SIKAYA,11000.0,Terjual 100+,5.0
80,Gerai Snack Official Shop,Kab. Tangerang,Seblak Mommy,13500.0,Terjual 2 rb+,4.6
81,Taufik Bumbu Giling,Jakarta Selatan,kerupuk bubur/ seblak / gado- gado/ ketoprak 500gr,18000.0,Terjual 100+,4.9
82,Agen Snack Murah,Jakarta Barat,Seblak Kencur 250gr/Kerupuk Seblak Rasa Kencur/Snack Cemilan,11600.0,Terjual 100+,5.0
83,The Little Snacks,Tangerang Selatan,Seblak Putih Pedas / Kerupuk Bawang Pedas Odjolali Oleh Oleh Bsndung,9000.0,Terjual 1 rb+,4.9
84,Rasa Juara Indonesia,Bandung,Seblak Juara ! Seblak Instan Rasa Original,115000.0,Terjual 2 rb+,4.9
85,lisdhacollection,Kab. Garut,Seblak Komplit⠀⠀,5500.0,Terjual 1 rb+,4.8
86,Welly Mart,Tangerang Selatan,"Seblak Instant ""mBak'Well""",15000.0,Terjual 100+,5.0
87,LarisManis shopp,Kab. Bandung,Paket Seblak Komplit Instan Pedas Gurih Cobek Kerupuk Mawar Viral,15000.0,None,None
88,Official Kartika Sari,Bandung,Mie Seblak Geprek Sami Raos,27500.0,Terjual 60+,4.9
89,the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,Terjual 1 rb+,4.8
90,hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,Terjual 750+,4.8
91,emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,Terjual 2 rb+,4.9
92,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,Terjual 10 rb+,4.8
93,Berkahrr,Bekasi,seblak mamang Rafael versi kering,12000.0,Terjual 10,None
94,Anggris store,Kab. Bogor,Kerupuk Seblak / Seblak / Kering Pedas /,10000.0,Terjual 40+,4.8
95,Agen Snack Murah,Jakarta Barat,KRUPUK JABLAY PEDAS 500Gram/KRUPUK SEBLAK/SEBLAK KERING/SNACK KILOAN,22999.0,Terjual 40+,4.9
96,BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,Terjual 500+,4.6
97,yumnaa snack,Kab. Bekasi,kerupuk seblak kencur / kerupuk seblak kering - 250gram,12000.0,Terjual 30+,4.9
98,the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,Terjual 1 rb+,4.8
99,hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,Terjual 750+,4.8
100,emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,Terjual 2 rb+,4.9
101,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,Terjual 10 rb+,4.8
102,Aliya28,Tangerang Selatan,Seblak/Cuanki/Baso aci/Batagor kuah (instan) 1porsi. toping lengkap,7500.0,Terjual 100+,5.0
103,vieka mart official,Tangerang Selatan,Seblak ala Kang Rafael | Seblak Viral | Seblak Cobek,9216.0,Terjual 250+,5.0
104,TokokelontongSejahtera,Jakarta Barat,KERUPUK SEBLAK VIRAL RAFAEL (MENTAH) 250GR,17500.0,Terjual 28,5.0
105,arzy sembako,Kab. Bogor,kerupuk seblak rafael 500gram,13800.0,Terjual 30+,5.0
106,Toko NRV Plastik dan Bahan Kue,Bandung,Kerupuk Aci Mawar | Kerupuk Mawar Putih | Seblak Rafael Viral | 250gr,7999.0,Terjual 100+,5.0
107,babykhai,Jakarta Timur,seblak rafael / seblak coet / seblak cocol,7500.0,Terjual 100+,4.9
108,the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,Terjual 1 rb+,4.8
109,Baso Aci Ayang,Kab. Garut,Seblak Instan Komplit Pedas Gurih Nikmat,5999.0,Terjual 2 rb+,4.9
110,BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,Terjual 500+,4.6
111,Aydaa Snack,Surakarta,SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000.0,Terjual 40+,4.9
112,RIKI STORE 97,Kab. Bogor,Seblak pedas kerupuk pedas kiloan 1 kg,34000.0,Terjual 70+,4.8
113,Snackzone PP,Jakarta Pusat,Keripik Seblak Pedas Putih,18000.0,Terjual 30+,5.0
114,kylafood,Bandung,"Kylafood Paket ( Seblak Original, Batagor, Cireng Rujak, Boci Goang)",67340.0,Terjual 500+,4.9
115,DEEVANA_CAHAYA,Bekasi,KERUPUK SEBLAK PEDAS GURIH MANTUL,5200.0,None,None
116,Welly Mart,Tangerang Selatan,"[OYI] Seblak Instant ""mBak'Well"" Rasa Mantap Bikin Nagih",15000.0,Terjual 2,None
117,Rempah Bu Risma,Kab. Bekasi,KERUPUK MENTAH BULAT PUTIH KERUPUK IKAN KERUPUK SEBLAK 1 KG,9000.0,Terjual 19,5.0
118,Pempek Emak Indah,Jakarta Barat,SEBLAK INSTANT HALU - SEBLAK MIE HALU - EMAK INDAH FOOD,19999.0,Terjual 250+,4.7
119,omiyago,Jakarta Barat,Omiyago Snack Kerupuk Seblak,4000.0,Terjual 24,4.8
120,Ss_Frozenfood,Jakarta Timur,SEBLAK BAPPER INSTAN EXTRA HOT,15900.0,Terjual 100+,4.9
121,RIKI STORE 97,Kab. Bogor,SABRING KERUPUK SEBLAK PEDAS,3000.0,Terjual 30+,5.0
122,Tukangsayurmbakyu,Tangerang Selatan,kerupuk bawang orange - kerupuk seblak 250gr,7500.0,Terjual 100+,4.9
123,FIRMAN TEGAR ADI GUNA,Kab. Bandung,Seblak Kering Kurupuk Extra Pedas 1Kg Super Renyah&Gurih Asli Bandung ,5000.0,Terjual 6,4.7
124,bawang putih tjap harian,Bandung,Paket Seblak Tjap Harian,10500.0,Terjual 250+,4.9
125,gaiagarut,Kab. Garut,Siomay Cuanki Kering Isi 25pcs Toping Seblak dan Baso Aci Garut,7599.0,Terjual 100+,4.9
126,gaiagarut,Kab. Garut,siomay mini GURILEM EKONOMIS 50gram Toping Baso Aci Cuanki Seblak,1710.0,Terjual 6,4.5
127,AUFARO SNACK,Kab. Bandung Barat,seblak instant komplit bumbu cikruh bandung aufaro snack,6400.0,Terjual 250+,4.9
128,lahawelah,Kab. Garut,GURILEM MINI isi 100gr Siomay Kering Toping Baso Aci Cuanki Seblak,3959.0,Terjual 50+,5.0
129,RN FROZEN FOOD,Jakarta Selatan,Seblak Instan,10500.0,Terjual 50+,4.9
130,Kenangan Garut,Kab. Garut,Cuanki/siomay kering-topping baso aci-seblak 200gr,10000.0,Terjual 750+,5.0
131,gaiagarut,Kab. Garut,GURILEM MINI isi 250gr Siomay Kering Toping Baso Aci Cuanki Seblak,7819.0,Terjual 250+,4.9
132,lahawelah,Kab. Garut,GURILEM MINI isi 250gr Siomay Kering Toping Baso Aci Cuanki Seblak,7819.0,Terjual 100+,4.9
133,CIPTA-RASA.,Bandung,kerupuk mawar putih kerupuk seblak,6250.0,Terjual 40+,4.7
134,Semesta kerupuk,Tangerang Selatan,Kerupuk mawar putih 1kg / kerupuk ikan/kerupuk seblak viral,23000.0,Terjual 28,4.9
135,KRIUK JAYA,Jakarta Barat,KERUPUK SEBLAK Aneka Warna PEDAS ... HOT,14000.0,Terjual 100+,4.7
136,SuperSnacksShop,Kab. Bandung,KERUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH / KRUPUK BWG 200gr,5000.0,Terjual 1 rb+,4.9
137,Golden Cakery,Jakarta Pusat,KERUPUK KRUPUK SEBLAK SEBRING PEDAS TERLARIS PER 250 GRAM,22500.0,Terjual 100+,4.8
138,oke snack,Jakarta Selatan,seblak kencur / okesnack,10000.0,Terjual 750+,4.9
139,Tsaadam Lego Home,Kab. Bandung,"Terlaris, SEBRING / Seblak Kering Bumbu Kacang Khas Bandung",80000.0,None,None
140,Golden Cakery,Jakarta Pusat,KERUPUK SEBLAK SEBRING PEDAS,9800.0,Terjual 250+,4.9
141,Official Kartika Sari,Bandung,Seblak Instan Sehati,13000.0,Terjual 500+,5.0
142,Retno Snack,Kab. Sidoarjo,Kerupuk Seblak Kencur Pedas Gurih Kering Renyah Enak 250 Gr,11400.0,None,None
143,CAMILLANS,Jakarta Selatan,kerupuk seblak pedas / kerupuk jablay,15000.0,Terjual 12,4.8
144,Foodstocks,Jakarta Selatan,Seblak Hot Spicy By Bapper Food / Seblak Instant Khas Bandung,16800.0,Terjual 40+,5.0
145,DUO BOCIL SNACK,Depok,Kerupuk Seblak Pedas Gurih aroma Kencur,15000.0,Terjual 1 rb+,4.7
146,global cookware1,Jakarta Barat,"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE INSTAN ENAK GURIH",17999.0,Terjual 750+,4.8
147,snackbox88,Bekasi,"baso aci boci instan maci eco ayam, keju, seblak",8999.0,Terjual 100+,5.0
148,kylafood,Bandung,"Kylafood Paket ( Seblak Original, Batagor, Cireng Rujak, Boci Goang)",67340.0,Terjual 500+,4.9
149,RIKI STORE 97,Kab. Bogor,kerupuk seblak kencur pedas gurih,5000.0,Terjual 40+,4.6
150,Golden Cakery,Jakarta Pusat,KERUPUK SEBLAK SEBRING PEDAS,9800.0,Terjual 250+,4.9
151,tokomakanankalimantan,Jakarta Barat,seblak instan jeletot jajanan hits bandung 1 porsi,4180.0,Terjual 1 rb+,4.8
152,tsr1997,Depok,seblak instan,4555.0,Terjual 1 rb+,4.9
153,FAG COLLECTION,Surabaya,Seblak Cocol Seblak Coet Seblak Viral Seblak Bumbu Basah Seblak rafael,5000.0,None,None
154,Distributor Topping Baso Aci,Bandung,Kerupuk Putih Ori 5 Kg (BALL) Kerupuk Seblak / Kerupuk Mentah / Ker,75000.0,None,None
155,kira3arut,Kab. Garut,cuanki lidah asli garut isi 150 pcs,31000.0,Terjual 8 rb+,4.9
156,Semesta kerupuk,Tangerang Selatan,Kerupuk mawar putih 1kg / kerupuk ikan/kerupuk seblak viral,23000.0,Terjual 28,4.9
157,Berkah Food Bandung,Cimahi,Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet,6173.0,Terjual 6 rb+,4.9
158,G Cakery,Jakarta Pusat,KERUPUK JABLAY SEBLAK PELANGI 250 GRAM,13580.0,Terjual 100+,4.9
159,Rak Sebelah,Jakarta Pusat,Bundle 3pcs - Seblak Basranger Extra Pedas 200gr Makanan Instan,51900.0,Terjual 40+,4.8
160,Golden Cakery,Jakarta Pusat,KERUPUK KRUPUK SEBLAK SEBRING PEDAS TERLARIS PER 500 GRAM,42275.0,Terjual 60+,4.9
161,Markas Makaroni,Kab. Bekasi,krupuk seblak hah pedas gurih 200gr,10000.0,Terjual 1 rb+,4.8
162,Toko kue Sumber Mas,Jakarta Timur,KERUPUK/KRUPUK SEBLAK RASA PEDAS TERLARIS ISI 250 GRAM NETT,16695.0,Terjual 250+,4.9
163,Kenal Jaya Bandung,Bandung,Agen Seblak Mommy,9750.0,Terjual 3 rb+,4.9
164,Pedas Gilaa,Surabaya,Seblak Bapper,13999.0,Terjual 250+,4.9
165,Berkahrr,Bekasi,seblak mamang Rafael versi kering,12000.0,Terjual 10,None
166,Pedas Gilaa,Surabaya,Seblak Instant Homemade Lengkap Bumbu,5000.0,Terjual 2 rb+,4.8
167,Golden Cakery,Jakarta Pusat,KERUPUK SEBLAK JABLAY PELANGI 1KG,45600.0,Terjual 27,5.0
168,global cookware1,Jakarta Barat,"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE, ENAK DAN GURIH",18500.0,Terjual 60+,4.9
169,Nyonya Sayur,Jakarta Pusat,Kerupuk Merah/Kerupuk Seblak Mentah,7000.0,Terjual 100+,5.0
170,SanKrip,Jakarta Pusat,Sankrip Kerupuk Krupuk Jablay Seblak Mekar Bantet Pedas 250gr,27000.0,Terjual 8,5.0
171,CemilanPuas,Medan,[READY MEDAN] Kerupuk Bawang Bantet Seblak Pedas Jeruk Murah 100grm,8000.0,Terjual 250+,4.9
172,SEBLAK MANTUL,Kab. Bandung,"seblak kerupuk kering,pedo,krupuk mawar,pedas daun jeruk,kerupuk gelun",5000.0,Terjual 70+,5.0
173,FARADHIFY STORE,Bekasi,SEBLAK VIRAL - SEBLAK INSTANT - SEBLAK RAFAEL - SEBLAK MAMANG RAFAEL,8880.0,Terjual 100+,4.8
174,Pempek Emak Indah,Jakarta Barat,BASO ACI INSTANT x SEBLAK INSTANT - HALU! EMAK INDAH FOOD,44600.0,Terjual 40+,4.9
175,GM_Frozenfood,Jakarta Timur,SEBLAK BAPPER - SEBLAK INSTAN,15900.0,Terjual 250+,4.8
176,Golden Cakery,Jakarta Pusat,Kerupuk Seblak BANTET Pedas /Seblak Pelangi ,15300.0,Terjual 50+,4.9
177,Distributor Cuanki dan Seblak,Kab. Bekasi,Cuanki Lidah 50 pcs topingan seblak baso Aci bakso cuanki,13500.0,Terjual 250+,4.8
178,Agen Snack Murah,Jakarta Barat,KRUPUK JABLAY PEDAS 500Gram/KRUPUK SEBLAK/SEBLAK KERING/SNACK KILOAN,22999.0,Terjual 40+,4.9
179,ArfaOnlineShop,Tangerang,kerupuk mix 250 gram campuran seblak,7399.0,Terjual 60+,5.0
180,NomeL Shop,Surabaya,MAKARONI bantet 70gr krupuk SEBLAK krupuk UDANG KERUPUK BANTET,2600.0,Terjual 250+,5.0
181,sembakocitra,Tangerang,Kerupuk Seblak/Ikan/Sari Udang/Merah - MENTAH,25000.0,Terjual 20,5.0
182,yohangunawan94,Bandung,Kerupuk Merah Seblak 250gr BANDUNG,3938.0,Terjual 750+,5.0
183,Aishakira online,Jakarta Timur,Seblak Instan Enak dan Murah,11000.0,Terjual 50+,4.9
184,JS TOKO ONLINE,Jakarta Barat,Kerupuk Mentah / Kerupuk Seblak / Bawang Putih Goreng,7200.0,Terjual 100+,5.0
185,oke snack,Jakarta Selatan,Kerupuk Seblak Jeruk,14000.0,Terjual 100+,4.9
186,G Cakery,Jakarta Pusat,KERUPUK KRUPUK SEBLAK JABLAY KRUPUK PELANGI 170 GRAM,9500.0,Terjual 80+,4.9
187,CemilanPuas,Medan,[READY MEDAN] Extra Topping Baso Aci Cuanki Seblak - Tahu Siomay Mini,4000.0,Terjual 250+,4.5
188,tsr1997,Depok,Sebring seblak kering,4444.0,Terjual 100+,4.8
189,The Busrank Snack,Palembang,SEBLAK INSTAN LENGKAP TERMURAH 75gr,4450.0,Terjual 14,5.0
190,Pelangi Girls Naget 2,Depok,seblak instan KSN frozen,10400.0,Terjual 100+,5.0
191,SNACK JAKARTA 411,Jakarta Barat,Kerupuk Seblak,8000.0,Terjual 250+,5.0
192,Pempek Emak Indah,Jakarta Barat,COMBO HALU! 2PC SEBLAK MIE HALU - EMAK INDAH FOOD,39600.0,Terjual 50+,5.0
193,TAM SNACK,Depok,Kerupuk Seblak Pedas Gurih Kencur 250 Gram - Tam Snack,14000.0,Terjual 100+,4.8
194,Bunda alifba,Jakarta Barat,Krupuk seblak//Krupuk Bantet 250gr,6000.0,Terjual 30+,4.7
195,RIKI STORE 97,Kab. Bogor,Kerupuk seblak 100 gram Pedas gurih,7000.0,Terjual 6,5.0
196,TOBELO SHOP,Tangerang,SEBLAK GEPREK SAMIRAOS / SEBLAK MIE / SEBLAK SOUN / SEBLAK INSTAN,17850.0,Terjual 100+,4.8
197,camilaNung,Bekasi,snack kiloan kerupuk seblak pedas nagih 250 gram free bubble warp,16000.0,Terjual 500+,4.8
198,kylafood,Bandung,Seblak Karuhun k.y.l Kylafood,10125.0,Terjual 4 rb+,4.8
199,ANV_SNACK,Surabaya,Krupuk seblak kencur 250 gr,68000.0,Terjual 1,None
200,Golden Cakery,Jakarta Pusat,KERUPUK SEBLAK SEBRING PEDAS KILOAN - 1 kg,84550.0,Terjual 16,5.0
201,gaiagarut,Kab. Garut,Tahu Kering Keriting PREMIUM isi 50 untuk Toping Baso Aci Seblak Mie,16799.0,Terjual 100+,4.9
202,Lakoca Official Shop,Cimahi,Paket Isi 6 Cuanki Instan Lakoca | Batagor Instan | Seblak Basah GFS,93840.0,Terjual 100+,4.8
203,the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,Terjual 1 rb+,4.8
204,hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,Terjual 750+,4.8
205,emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,Terjual 2 rb+,4.9
206,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,Terjual 10 rb+,4.8
207,Berkahrr,Bekasi,seblak mamang Rafael versi kering,12000.0,Terjual 10,None
208,Anggris store,Kab. Bogor,Kerupuk Seblak / Seblak / Kering Pedas /,10000.0,Terjual 40+,4.8
209,Agen Snack Murah,Jakarta Barat,KRUPUK JABLAY PEDAS 500Gram/KRUPUK SEBLAK/SEBLAK KERING/SNACK KILOAN,22999.0,Terjual 40+,4.9
210,BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,Terjual 500+,4.6
