,Penjual,Kota Toko,Nama Produk,Harga Produk,Jumlah Terjual,Rating Produk
815,Astar Food,Bandung,SIOMAY SIOMAI KERING SEBLAK SOMAI MINI 250 GR,7500.0,Terjual 100+,4.8
816,SuperSnacksShop,Kab. Bandung,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg SLONDOK,21000.0,Terjual 100+,4.9
817,Distributor Cuanki dan Seblak,Kab. Bekasi,cuanki tahu pasung kering toping seblak baso Aci bakso cuanki 150 pcs,34000.0,Terjual 60+,5.0
818,Toko Everyday Need,Kab. Bogor,kerupuk seblak pedas,10000.0,Terjual 6,5.0
819,SPM Market,Jakarta Selatan,Kerupuk Oren Seblak Bubur Mentah [250 g],12500.0,Terjual 13,5.0
820,Snackzone KK,Jakarta Selatan,Kerupuk seblak merah,18000.0,Terjual 28,4.9
821,Clower Mart,Jakarta Barat,Oifyoo Seblak Mozarella,22000.0,Terjual 24,4.8
822,yossy food,Kab. Karawang,seblak instan YS,5500.0,Terjual 500+,None
823,kylafood,Bandung,Kylafood Paket ( 2 Seblak Original 3 Batagor Kuah ),91390.0,Terjual 250+,4.9
824,FrescaFresco,Tangerang Selatan,Seblak Goreng Nyuuuus,22500.0,None,None
825,Ladjangfood,Bandung,seblak instan varian bihun,10000.0,Terjual 2,None
826,kylafood,Bandung,Seblak Mie Tulang Rawan k.y.l Kylafood,17150.0,Terjual 3 rb+,4.9
827,the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,Terjual 1 rb+,4.8
828,hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,Terjual 750+,4.8
829,emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,Terjual 2 rb+,4.9
830,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,Terjual 10 rb+,4.8
831,Berkahrr,Bekasi,seblak mamang Rafael versi kering,12000.0,Terjual 10,None
832,Anggris store,Kab. Bogor,Kerupuk Seblak / Seblak / Kering Pedas /,10000.0,Terjual 40+,4.8
833,Agen Snack Murah,Jakarta Barat,KRUPUK JABLAY PEDAS 500Gram/KRUPUK SEBLAK/SEBLAK KERING/SNACK KILOAN,22999.0,Terjual 40+,4.9
834,BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,Terjual 500+,4.6
835,yumnaa snack,Kab. Bekasi,kerupuk seblak kencur / kerupuk seblak kering - 250gram,12000.0,Terjual 30+,4.9
836,the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,Terjual 1 rb+,4.8
837,hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,Terjual 750+,4.8
838,emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,Terjual 2 rb+,4.9
839,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,Terjual 10 rb+,4.8
840,Aliya28,Tangerang Selatan,Seblak/Cuanki/Baso aci/Batagor kuah (instan) 1porsi. toping lengkap,7500.0,Terjual 100+,5.0
841,vieka mart official,Tangerang Selatan,Seblak ala Kang Rafael | Seblak Viral | Seblak Cobek,9216.0,Terjual 250+,5.0
842,TokokelontongSejahtera,Jakarta Barat,KERUPUK SEBLAK VIRAL RAFAEL (MENTAH) 250GR,17500.0,Terjual 28,5.0
843,arzy sembako,Kab. Bogor,kerupuk seblak rafael 500gram,13800.0,Terjual 30+,5.0
844,Toko NRV Plastik dan Bahan Kue,Bandung,Kerupuk Aci Mawar | Kerupuk Mawar Putih | Seblak Rafael Viral | 250gr,7999.0,Terjual 100+,5.0
845,babykhai,Jakarta Timur,seblak rafael / seblak coet / seblak cocol,7500.0,Terjual 100+,4.9
846,the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,Terjual 1 rb+,4.8
847,Baso Aci Ayang,Kab. Garut,Seblak Instan Komplit Pedas Gurih Nikmat,5999.0,Terjual 2 rb+,4.9
848,BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,Terjual 500+,4.6
